ville,annee,mois,type_temp,valeur_celsius,unite
Atakpamé,2018,4,temp_max,33,°C
Atakpamé,2018,4,temp_min,23,°C
Atakpamé,2018,5,temp_max,32,°C
Atakpamé,2018,5,temp_min,22,°C
Atakpamé,2018,6,temp_max,30,°C
Atakpamé,2018,6,temp_min,22,°C
Atakpamé,2018,7,temp_max,29,°C
Atakpamé,2018,7,temp_min,22,°C
Atakpamé,2018,8,temp_max,29,°C
Atakpamé,2018,8,temp_min,21,°C
Atakpamé,2018,9,temp_max,30,°C
Atakpamé,2018,9,temp_min,22,°C
Atakpamé,2018,10,temp_max,31,°C
Atakpamé,2018,10,temp_min,22,°C
Atakpamé,2018,11,temp_max,33,°C
Atakpamé,2018,11,temp_min,23,°C
Atakpamé,2018,12,temp_max,33,°C
Atakpamé,2018,12,temp_min,23,°C
Atakpamé,2019,1,temp_max,35,°C
Atakpamé,2019,1,temp_min,23,°C
Atakpamé,2019,2,temp_max,36,°C
Atakpamé,2019,2,temp_min,24,°C
Atakpamé,2019,3,temp_max,35,°C
Atakpamé,2019,3,temp_min,24,°C
Atakpamé,2019,4,temp_max,34,°C
Atakpamé,2019,4,temp_min,23,°C
Atakpamé,2019,5,temp_max,32,°C
Atakpamé,2019,5,temp_min,23,°C
Atakpamé,2019,6,temp_max,31,°C
Atakpamé,2019,6,temp_min,22,°C
Atakpamé,2019,7,temp_max,30,°C
Atakpamé,2019,7,temp_min,23,°C
Atakpamé,2019,8,temp_max,29,°C
Atakpamé,2019,8,temp_min,21,°C
Atakpamé,2019,9,temp_max,30,°C
Atakpamé,2019,9,temp_min,22,°C
Atakpamé,2019,10,temp_max,30,°C
Atakpamé,2019,10,temp_min,22,°C
Atakpamé,2019,11,temp_max,33,°C
Atakpamé,2019,11,temp_min,23,°C
Atakpamé,2019,12,temp_max,34,°C
Atakpamé,2019,12,temp_min,23,°C
Dapaong,2013,1,temp_max,34,°C
Dapaong,2013,1,temp_min,21,°C
Dapaong,2013,2,temp_max,34,°C
Dapaong,2013,2,temp_min,24,°C
Dapaong,2013,3,temp_max,39,°C
Dapaong,2013,3,temp_min,26,°C
Dapaong,2013,4,temp_max,36,°C
Dapaong,2013,4,temp_min,25,°C
