annee,energies_renouvelables_pct
1971,83.6084611965826
1972,83.5540923154435
1973,85.6696646316952
1974,86.4738424582339
1975,84.8365184126612
1976,86.9438370841223
1977,83.8371745348855
1978,83.5409643161827
1979,82.4157603286342
1980,84.1826166584256
1981,84.8807724703132
1982,82.9920173884064
1983,87.5453409824479
1984,86.9013777418178
1985,87.8866076072838
1986,83.2179215472396
1987,82.7910002168221
1988,83.5688913767441
1989,83.5995796111403
1990,51.337038092524
1991,51.7755782821881
1992,52.944599023252
1993,54.324676785394
1994,49.4318536911534
1995,48.6174035406728
1996,44.9375489344741
1997,46.7543700006066
1998,45.079303649957
1999,44.3869883138391
2000,45.6252700479833
2001,46.877041448949
2002,46.403400822082
2003,45.0175956601662
2004,45.6523331272048
2005,46.1685179118416
2006,47.1445267967864
2007,46.9567325655129
2008,45.7263492140328
2009,40.4978096271898
2010,41.6811851674944
2011,42.6595343335715
2012,44.0525490250074
2013,44.1339149109469
2014,44.1332084819761
